/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 18:42:41 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
47.6837	0.000129386
95.3674	0.000127491
143.051	0.00013159
190.735	0.00012793
238.419	0.000131795
286.102	0.00012691
333.786	0.000130617
381.47	0.000135629
429.153	0.000123608
476.837	0.000132782
524.521	0.000130717
572.205	0.000130299
619.888	0.000136098
667.572	0.000135493
715.256	0.000131594
762.939	0.000131625
810.623	0.000129612
858.307	0.000134222
905.991	0.000126443
953.674	0.0001338
1001.36	0.000128887
1049.04	0.000130149
1096.73	0.000129955
1144.41	0.000134317
1192.09	0.000132278
1239.78	0.000126752
1287.46	0.000129667
1335.14	0.000127708
1382.83	0.000124292
1430.51	0.000126787
1478.2	0.000131725
1525.88	0.000124812
1573.56	0.000124808
1621.25	0.000127341
1668.93	0.0001299
1716.61	0.000125833
1764.3	0.00012748
1811.98	0.000133214
1859.66	0.000133667
1907.35	0.000131713
1955.03	0.000126864
2002.72	0.000127566
2050.4	0.00012743
2098.08	0.000124673
2145.77	0.000131756
2193.45	0.000128565
2241.13	0.000125099
2288.82	0.000133102
2336.5	0.00013407
2384.19	0.000126842
2431.87	0.000125467
2479.55	0.000126655
2527.24	0.000126485
2574.92	0.000129106
2622.6	0.000134077
2670.29	0.000126489
2717.97	0.000133002
2765.66	0.000127779
2813.34	0.000131737
2861.02	0.000127879
2908.71	0.000127505
2956.39	0.000128359
3004.07	0.000129089
3051.76	0.000126562
3099.44	0.00012552
3147.13	0.000127766
3194.81	0.000131813
3242.49	0.000133271
3290.18	0.000124352
3337.86	0.000124572
3385.54	0.000131382
3433.23	0.000129683
3480.91	0.000133596
3528.59	0.000130607
3576.28	0.00012241
3623.96	0.000127354
3671.65	0.000127809
3719.33	0.000130713
3767.01	0.000124206
3814.7	0.000128864
3862.38	0.000132048
3910.06	0.000125579
3957.75	0.000123415
4005.43	0.000129168
4053.12	0.000126225
4100.8	0.000128319
4148.48	0.000131044
4196.17	0.000124636
4243.85	0.000127246
4291.53	0.000127217
4339.22	0.000128437
4386.9	0.000125931
4434.59	0.000129704
4482.27	0.000128672
4529.95	0.000124806
4577.64	0.000128085
4625.32	0.000135311
4673	0.000125864
4720.69	0.000129714
4768.37	0.000129472
4816.06	0.000127131
4863.74	0.000126367
4911.42	0.000131511
4959.11	0.000128595
5006.79	0.000127689
5054.47	0.000131125
5102.16	0.000130857
5149.84	0.000130628
5197.52	0.000123744
5245.21	0.000128374
5292.89	0.000129796
5340.58	0.000133023
5388.26	0.000133137
5435.94	0.000132655
5483.63	0.000128532
5531.31	0.000127769
5578.99	0.00013203
5626.68	0.000129209
5674.36	0.000123609
5722.05	0.000127101
5769.73	0.000129854
5817.41	0.000129196
5865.1	0.000132699
5912.78	0.000130024
5960.46	0.000125733
6008.15	0.000126504
6055.83	0.00012956
6103.52	0.00012925
6151.2	0.000127889
6198.88	0.000127791
6246.57	0.000131329
6294.25	0.000123971
6341.93	0.000123074
6389.62	0.000130692
6437.3	0.000130899
6484.99	0.000123475
6532.67	0.000131449
6580.35	0.000127437
6628.04	0.000126458
6675.72	0.000125738
6723.4	0.000130237
6771.09	0.000127166
6818.77	0.000129681
6866.46	0.000130292
6914.14	0.000127261
6961.82	0.00012683
7009.51	0.000125025
7057.19	0.00013186
7104.87	0.000123596
7152.56	0.000125766
7200.24	0.000123457
7247.92	0.000123559
7295.61	0.000130112
7343.29	0.000125573
7390.98	0.000130534
7438.66	0.000127448
7486.34	0.000129045
7534.03	0.000126457
7581.71	0.000133325
7629.39	0.000126302
7677.08	0.000129927
7724.76	0.000135862
7772.45	0.000129337
7820.13	0.000127194
7867.81	0.000128238
7915.5	0.000128416
7963.18	0.000131459
8010.86	0.000131916
8058.55	0.000127196
8106.23	0.000121537
8153.92	0.000125406
8201.6	0.000127629
8249.28	0.000126917
8296.97	0.000128253
8344.65	0.000124103
8392.33	0.000125682
8440.02	0.000127825
8487.7	0.000129484
8535.38	0.000126631
8583.07	0.000125358
8630.75	0.000126926
8678.44	0.000128186
8726.12	0.000123232
8773.8	0.000129788
8821.49	0.000124548
8869.17	0.000124356
8916.85	0.000130624
8964.54	0.000128773
9012.22	0.00012996
9059.91	0.000127724
9107.59	0.00012924
9155.27	0.00012562
9202.96	0.000130038
9250.64	0.000128719
9298.32	0.000130954
9346.01	0.000126067
9393.69	0.000130589
9441.38	0.000126208
