/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 90 averaged noise traces
/* Acquired at 18:37:46 on 17.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
1907.35	0.000121733
3814.7	0.000123772
5722.05	0.000123174
7629.39	0.000121847
9536.74	0.000128866
11444.1	0.000132883
13351.4	0.000119489
15258.8	0.000112954
17166.1	0.000118924
19073.5	0.000121283
20980.8	0.000117258
22888.2	0.000120543
24795.5	0.000114805
26702.9	0.00011881
28610.2	0.000117128
30517.6	0.000104814
32424.9	0.000111834
34332.3	0.000111138
36239.6	0.000109424
38147	9.71907e-005
40054.3	0.000102624
41961.7	9.86165e-005
43869	9.61703e-005
45776.4	9.33996e-005
47683.7	8.46744e-005
49591.1	8.0855e-005
51498.4	8.77689e-005
53405.8	7.87677e-005
55313.1	7.87924e-005
57220.5	8.9441e-005
59127.8	8.57627e-005
61035.2	8.01368e-005
62942.5	7.23242e-005
64849.9	8.31439e-005
66757.2	7.0077e-005
68664.6	7.41308e-005
70571.9	7.10969e-005
72479.3	7.57261e-005
74386.6	6.94818e-005
76293.9	6.2886e-005
78201.3	7.14557e-005
80108.6	7.00148e-005
82016	6.59589e-005
83923.3	7.32523e-005
85830.7	6.1272e-005
87738	6.4533e-005
89645.4	5.72919e-005
91552.7	6.10002e-005
93460.1	5.85772e-005
95367.4	5.83085e-005
97274.8	6.32799e-005
99182.1	5.48718e-005
101089	5.28844e-005
102997	5.81126e-005
104904	5.47781e-005
106812	5.43959e-005
108719	4.97762e-005
110626	5.33495e-005
112534	4.96357e-005
114441	4.92663e-005
116348	4.95439e-005
118256	4.95862e-005
120163	4.79364e-005
122070	4.7532e-005
123978	4.57148e-005
125885	4.71368e-005
127792	4.89437e-005
129700	4.31142e-005
131607	4.63147e-005
133514	4.69912e-005
135422	4.43522e-005
137329	4.68934e-005
139236	4.58574e-005
141144	3.84841e-005
143051	4.04616e-005
144959	3.94014e-005
146866	4.30867e-005
148773	4.14208e-005
150681	3.86695e-005
152588	3.83177e-005
154495	3.92508e-005
156403	4.39511e-005
158310	3.77491e-005
160217	4.23899e-005
162125	3.59634e-005
164032	3.70117e-005
165939	3.25341e-005
167847	3.59425e-005
169754	3.02368e-005
171661	3.24484e-005
173569	3.22706e-005
175476	3.3991e-005
177383	3.43775e-005
179291	3.54107e-005
181198	3.78258e-005
183105	3.29244e-005
185013	3.23519e-005
186920	3.17939e-005
188828	3.41885e-005
190735	3.34281e-005
192642	3.05922e-005
194550	3.23606e-005
196457	3.24105e-005
198364	3.09797e-005
200272	2.89762e-005
202179	3.12105e-005
204086	2.85578e-005
205994	3.06782e-005
207901	2.78573e-005
209808	2.8843e-005
211716	2.84649e-005
213623	2.66811e-005
215530	3.00301e-005
217438	3.07002e-005
219345	2.71174e-005
221252	2.82785e-005
223160	2.74021e-005
225067	2.64099e-005
226975	2.66766e-005
228882	2.53592e-005
230789	2.82359e-005
232697	2.46098e-005
234604	2.8099e-005
236511	2.47881e-005
238419	2.76904e-005
240326	2.40203e-005
242233	2.45911e-005
244141	2.54682e-005
246048	2.54935e-005
247955	2.45275e-005
249863	2.60821e-005
251770	2.51132e-005
253677	2.5352e-005
255585	2.58599e-005
257492	2.38691e-005
259399	2.24692e-005
261307	2.45929e-005
263214	2.40367e-005
265121	2.53176e-005
267029	2.4419e-005
268936	2.20053e-005
270844	2.16252e-005
272751	2.39654e-005
274658	2.26579e-005
276566	2.21967e-005
278473	2.36612e-005
