/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 14:18:10 on 20.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
2.98023	0.000139312
5.96046	0.000141747
8.9407	0.000138784
11.9209	0.000135608
14.9012	0.000141064
17.8814	0.000140974
20.8616	0.000135584
23.8419	0.000138497
26.8221	0.000139511
29.8023	0.000139446
32.7826	0.000133787
35.7628	0.000137265
38.743	0.000138421
41.7233	0.000136848
44.7035	0.000146231
47.6837	0.00014087
50.6639	0.000223963
53.6442	0.000140565
56.6244	0.000140185
59.6046	0.000135987
62.5849	0.000131832
65.5651	0.00013913
68.5453	0.000138275
71.5256	0.00013416
74.5058	0.000140812
77.486	0.000142885
80.4663	0.000132646
83.4465	0.000138756
86.4267	0.000140202
89.407	0.000137009
92.3872	0.000136747
95.3674	0.000138702
98.3477	0.000143379
101.328	0.000135316
104.308	0.000133261
107.288	0.00013667
110.269	0.000138108
113.249	0.000134797
116.229	0.000133422
119.209	0.000141282
122.19	0.00013821
125.17	0.000141587
128.15	0.000135487
131.13	0.000136728
134.11	0.000141144
137.091	0.000136348
140.071	0.000135143
143.051	0.000136499
146.031	0.000140963
149.012	0.000159153
151.992	0.000138731
154.972	0.000138166
157.952	0.00014086
160.933	0.000137836
163.913	0.000138046
166.893	0.000139319
169.873	0.000140613
172.853	0.000134372
175.834	0.000135302
178.814	0.000135944
181.794	0.000134698
184.774	0.000139442
187.755	0.000130164
190.735	0.000136462
193.715	0.000134942
196.695	0.000135647
199.676	0.000136613
202.656	0.000131928
205.636	0.000135108
208.616	0.000133778
211.596	0.000139676
214.577	0.000137223
217.557	0.000137505
220.537	0.000132955
223.517	0.000135456
226.498	0.000135835
229.478	0.000134929
232.458	0.000135764
235.438	0.000137814
238.419	0.000142643
241.399	0.000131623
244.379	0.00013733
247.359	0.000137452
250.34	0.00014285
253.32	0.000139348
256.3	0.000136528
259.28	0.000138964
262.26	0.000137277
265.241	0.000137873
268.221	0.000140438
271.201	0.000134797
274.181	0.000136727
277.162	0.000139575
280.142	0.000143154
283.122	0.000136584
286.102	0.000139104
289.083	0.000139637
292.063	0.000142978
295.043	0.000138681
298.023	0.000139452
301.003	0.000137932
303.984	0.000134617
306.964	0.000134889
309.944	0.000142307
312.924	0.000138475
315.905	0.000135316
318.885	0.000138254
321.865	0.000143301
324.845	0.000138574
327.826	0.000135257
330.806	0.000136124
333.786	0.000139359
336.766	0.00013596
339.746	0.000145419
342.727	0.000139965
345.707	0.00013828
348.687	0.000137205
351.667	0.000134984
354.648	0.000138167
357.628	0.000135775
360.608	0.000134831
363.588	0.000137391
366.569	0.000135684
369.549	0.000138772
372.529	0.000138394
375.509	0.000132944
378.49	0.000139622
381.47	0.000142706
384.45	0.000134685
387.43	0.000143179
390.41	0.000138979
393.391	0.000135058
396.371	0.000135822
399.351	0.000136265
402.331	0.000135257
405.312	0.000144644
408.292	0.000136229
411.272	0.00013398
414.252	0.000138042
417.233	0.000138495
420.213	0.000139358
423.193	0.000139331
426.173	0.000136263
429.153	0.000134026
432.134	0.000134659
435.114	0.000137587
438.094	0.000136875
441.074	0.00013824
444.055	0.00013874
447.035	0.000136339
450.015	0.000138684
452.995	0.000132886
455.976	0.000130791
458.956	0.000140251
461.936	0.000134335
464.916	0.00013983
467.896	0.000137701
470.877	0.000137922
473.857	0.000144585
476.837	0.000134761
479.817	0.000134873
482.798	0.00013832
485.778	0.000145117
488.758	0.000142722
491.738	0.000139463
494.719	0.000139105
497.699	0.00013663
500.679	0.000139719
503.659	0.000136697
506.639	0.000136908
509.62	0.000142124
512.6	0.000138545
515.58	0.000138851
518.56	0.000137155
521.541	0.000138811
524.521	0.000146723
527.501	0.000141562
530.481	0.000139889
533.462	0.000142094
536.442	0.000138864
539.422	0.000137729
542.402	0.000135737
545.383	0.000138595
548.363	0.000140496
551.343	0.000134571
554.323	0.000139286
557.303	0.000133944
560.284	0.000136571
563.264	0.00013705
566.244	0.000136445
569.224	0.00013768
572.205	0.000137729
575.185	0.000143623
578.165	0.000139393
581.145	0.00013466
584.126	0.000133393
587.106	0.000146364
590.086	0.000142413
593.066	0.000136953
596.046	0.000137739
