/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 14:55:14 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
2.98023	0.000152936
5.96046	0.000155742
8.9407	0.000158961
11.9209	0.000154934
14.9012	0.000152542
17.8814	0.000157078
20.8616	0.00015097
23.8419	0.000150487
26.8221	0.00015836
29.8023	0.000156357
32.7826	0.000156113
35.7628	0.000156199
38.743	0.000159092
41.7233	0.000157105
44.7035	0.000154356
47.6837	0.000148018
50.6639	0.000153503
53.6442	0.000163903
56.6244	0.00015808
59.6046	0.000152685
62.5849	0.000158739
65.5651	0.000158447
68.5453	0.000156986
71.5256	0.000162044
74.5058	0.000161684
77.486	0.000155851
80.4663	0.000161022
83.4465	0.000157323
86.4267	0.000153697
89.407	0.000153595
92.3872	0.000158914
95.3674	0.000158842
98.3477	0.000156958
101.328	0.000152838
104.308	0.000153908
107.288	0.000158599
110.269	0.000156789
113.249	0.000151214
116.229	0.00016289
119.209	0.000158985
122.19	0.00015488
125.17	0.00015423
128.15	0.000163271
131.13	0.000153737
134.11	0.000155274
137.091	0.000155474
140.071	0.000157113
143.051	0.000150476
146.031	0.000155547
149.012	0.000159595
151.992	0.000154608
154.972	0.000154928
157.952	0.000160403
160.933	0.000156781
163.913	0.000153297
166.893	0.00015798
169.873	0.000155213
172.853	0.000162024
175.834	0.000158561
178.814	0.000147814
181.794	0.000158123
184.774	0.000156505
187.755	0.000157717
190.735	0.000155672
193.715	0.000154409
196.695	0.000162681
199.676	0.000160907
202.656	0.000158718
205.636	0.000160199
208.616	0.000161551
211.596	0.000154388
214.577	0.000162458
217.557	0.000156939
220.537	0.000152004
223.517	0.000158298
226.498	0.000154805
229.478	0.000155809
232.458	0.000155583
235.438	0.000159489
238.419	0.000166547
241.399	0.000161321
244.379	0.000160845
247.359	0.000150422
250.34	0.000161708
253.32	0.00015713
256.3	0.000154918
259.28	0.000160077
262.26	0.000153996
265.241	0.000155769
268.221	0.000155919
271.201	0.000156935
274.181	0.000159596
277.162	0.000158336
280.142	0.000157447
283.122	0.000151108
286.102	0.000161341
289.083	0.000157958
292.063	0.000156565
295.043	0.000166279
298.023	0.000159404
301.003	0.000160699
303.984	0.000155575
306.964	0.00016176
309.944	0.000159092
312.924	0.000159571
315.905	0.00015808
318.885	0.000157899
321.865	0.000154824
324.845	0.00015803
327.826	0.000163399
330.806	0.000157687
333.786	0.000157878
336.766	0.000158642
339.746	0.000154548
342.727	0.000157123
345.707	0.000148395
348.687	0.000159003
351.667	0.000156982
354.648	0.000160522
357.628	0.000154226
360.608	0.000159377
363.588	0.000148009
366.569	0.000156992
369.549	0.000156619
372.529	0.000156005
375.509	0.000161551
378.49	0.000163428
381.47	0.000156153
384.45	0.000158384
387.43	0.000156435
390.41	0.000152934
393.391	0.000156949
396.371	0.000152701
399.351	0.00016155
402.331	0.000158925
405.312	0.000160372
408.292	0.00015882
411.272	0.000158226
414.252	0.00015716
417.233	0.000155576
420.213	0.000158069
423.193	0.000153463
426.173	0.00015928
429.153	0.000153658
432.134	0.000157654
435.114	0.000154059
438.094	0.0001576
441.074	0.000154499
444.055	0.000161639
447.035	0.000155586
450.015	0.000157854
452.995	0.000167972
455.976	0.00016118
458.956	0.000163453
461.936	0.000155695
464.916	0.000158539
467.896	0.000157581
470.877	0.000162088
473.857	0.000151455
476.837	0.00015229
479.817	0.00015656
482.798	0.000160142
485.778	0.000155321
488.758	0.000155878
491.738	0.000155812
494.719	0.000156861
497.699	0.000156602
500.679	0.000152416
503.659	0.000161376
506.639	0.000157913
509.62	0.000155692
512.6	0.000161129
515.58	0.000153306
518.56	0.000163041
521.541	0.000160019
524.521	0.000161997
527.501	0.000157221
530.481	0.000158575
533.462	0.000152559
536.442	0.000151005
539.422	0.00016233
542.402	0.000160729
545.383	0.00015198
548.363	0.00015588
551.343	0.00015882
554.323	0.00016009
557.303	0.000151755
560.284	0.000150427
563.264	0.000153671
566.244	0.000158579
569.224	0.00015167
572.205	0.000155171
575.185	0.00015895
578.165	0.000153903
581.145	0.000161683
584.126	0.000156359
587.106	0.000153024
590.086	0.000154708
593.066	0.000156157
596.046	0.000155033
599.027	0.000156047
602.007	0.000154098
604.987	0.000161248
607.967	0.00016123
610.948	0.000157003
613.928	0.000159522
616.908	0.000154351
619.888	0.000160214
622.869	0.000151438
625.849	0.000153838
628.829	0.00015794
631.809	0.000157432
634.789	0.000157312
637.77	0.000152153
640.75	0.000157918
643.73	0.000159079
646.71	0.000156857
649.691	0.000162674
652.671	0.000160195
655.651	0.000158102
658.631	0.000155275
661.612	0.00015835
664.592	0.00015964
667.572	0.000154734
670.552	0.000154284
673.532	0.000155422
676.513	0.000154625
679.493	0.000153275
682.473	0.000146829
685.453	0.000158411
688.434	0.000155349
691.414	0.000153993
694.394	0.000157486
697.374	0.00014766
700.355	0.00015338
703.335	0.000156943
