/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 15:6:41 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
47.6837	0.000153796
95.3674	0.000155881
143.051	0.000157263
190.735	0.000161711
238.419	0.000155397
286.102	0.000164564
333.786	0.000162358
381.47	0.000158595
429.153	0.000151256
476.837	0.000161684
524.521	0.000151922
572.205	0.000158251
619.888	0.00015721
667.572	0.000161063
715.256	0.000155786
762.939	0.000158153
810.623	0.00015057
858.307	0.000156467
905.991	0.000160364
953.674	0.000154017
1001.36	0.000148344
1049.04	0.000153535
1096.73	0.000153474
1144.41	0.000148762
1192.09	0.00015125
1239.78	0.000157183
1287.46	0.000162359
1335.14	0.000161001
1382.83	0.000159928
1430.51	0.000161367
1478.2	0.000157388
1525.88	0.000157674
1573.56	0.00016267
1621.25	0.000153105
1668.93	0.000147017
1716.61	0.000153269
1764.3	0.000157084
1811.98	0.000153235
1859.66	0.000149379
1907.35	0.000152634
1955.03	0.00015759
2002.72	0.000149089
2050.4	0.000160251
2098.08	0.000153384
2145.77	0.000160033
2193.45	0.000157207
2241.13	0.000156853
2288.82	0.00015233
2336.5	0.000152113
2384.19	0.000149805
2431.87	0.000159654
2479.55	0.000162687
2527.24	0.000158497
2574.92	0.000153704
2622.6	0.000159752
2670.29	0.000159524
2717.97	0.000152496
2765.66	0.000159693
2813.34	0.000159344
2861.02	0.000152546
2908.71	0.000158233
2956.39	0.000151644
3004.07	0.000153241
3051.76	0.000157159
3099.44	0.000158887
3147.13	0.000153995
3194.81	0.000161376
3242.49	0.000160338
3290.18	0.000151068
3337.86	0.000159909
3385.54	0.000152022
3433.23	0.000154221
3480.91	0.000155541
3528.59	0.00015883
3576.28	0.000160585
3623.96	0.000155881
3671.65	0.000152835
3719.33	0.000151183
3767.01	0.00016313
3814.7	0.000151178
3862.38	0.000155297
3910.06	0.000159596
3957.75	0.000150725
4005.43	0.000155159
4053.12	0.000154512
4100.8	0.000156906
4148.48	0.000158171
4196.17	0.000161046
4243.85	0.000155123
4291.53	0.000153514
4339.22	0.000157838
4386.9	0.000159304
4434.59	0.000155584
4482.27	0.000158964
4529.95	0.000153921
4577.64	0.000152626
4625.32	0.000162422
4673	0.000154064
4720.69	0.000158356
4768.37	0.000149408
4816.06	0.000154745
4863.74	0.000152524
4911.42	0.000156515
4959.11	0.000152746
5006.79	0.000158966
5054.47	0.000150029
5102.16	0.000155641
5149.84	0.000157243
5197.52	0.000155873
5245.21	0.000146981
5292.89	0.000155923
5340.58	0.000153186
5388.26	0.000151345
5435.94	0.000157686
5483.63	0.000150362
5531.31	0.000151525
5578.99	0.00015534
5626.68	0.000154924
5674.36	0.000152599
5722.05	0.000151677
5769.73	0.000160888
5817.41	0.00014687
5865.1	0.000152207
5912.78	0.000160003
5960.46	0.000149398
6008.15	0.000150748
6055.83	0.000152724
6103.52	0.000159182
6151.2	0.000154094
6198.88	0.000153379
6246.57	0.000158634
6294.25	0.000155234
6341.93	0.000151709
6389.62	0.000150809
6437.3	0.000150289
6484.99	0.000152621
6532.67	0.000151229
6580.35	0.000156293
6628.04	0.00015505
6675.72	0.000150785
6723.4	0.000158757
6771.09	0.000157797
6818.77	0.000155821
6866.46	0.000153764
6914.14	0.000151661
6961.82	0.000150319
7009.51	0.000154111
7057.19	0.000158381
7104.87	0.000157501
7152.56	0.000145499
7200.24	0.000152912
7247.92	0.000155438
7295.61	0.000149496
7343.29	0.000157157
7390.98	0.000151101
7438.66	0.000148597
7486.34	0.000147512
7534.03	0.000158437
7581.71	0.000154584
7629.39	0.00015534
7677.08	0.000150148
7724.76	0.000153729
7772.45	0.000154158
7820.13	0.000148988
7867.81	0.000147622
7915.5	0.000157828
7963.18	0.000156947
8010.86	0.000158379
8058.55	0.000152938
8106.23	0.000154719
8153.92	0.000150722
8201.6	0.000155414
8249.28	0.000156506
8296.97	0.000154008
8344.65	0.000150053
8392.33	0.000158399
8440.02	0.000155622
8487.7	0.000155253
8535.38	0.000151299
8583.07	0.000157478
8630.75	0.000160309
8678.44	0.000151294
8726.12	0.000151226
8773.8	0.000152772
8821.49	0.000156266
8869.17	0.0001499
8916.85	0.00015
8964.54	0.000157441
9012.22	0.000158969
9059.91	0.000153814
9107.59	0.000146669
9155.27	0.00014973
9202.96	0.000154831
9250.64	0.000157776
9298.32	0.000146337
9346.01	0.000153598
9393.69	0.000152886
9441.38	0.000156749
9489.06	0.000159997
9536.74	0.000156612
9584.43	0.000152039
9632.11	0.000150375
9679.79	0.000156575
9727.48	0.000149191
9775.16	0.000151045
9822.85	0.000157776
9870.53	0.000149829
9918.21	0.000157879
9965.9	0.000160502
10013.6	0.000142434
10061.3	0.000149839
10108.9	0.000151998
10156.6	0.000147025
10204.3	0.000155168
10252	0.000151226
10299.7	0.000149395
10347.4	0.000153538
10395	0.000154231
10442.7	0.000151558
10490.4	0.000149228
10538.1	0.00014606
10585.8	0.000149373
10633.5	0.000150715
10681.2	0.000152973
10728.8	0.000147133
10776.5	0.000152052
10824.2	0.000146976
10871.9	0.000156531
10919.6	0.000157779
10967.3	0.00016006
11014.9	0.000152124
11062.6	0.000152946
11110.3	0.000149635
11158	0.000152977
11205.7	0.000149521
11253.4	0.000150771
11301	0.000147834
11348.7	0.00014804
11396.4	0.00015353
11444.1	0.000153965
11491.8	0.000157274
11539.5	0.00015108
11587.1	0.000156329
11634.8	0.000154633
11682.5	0.00015347
11730.2	0.000153613
11777.9	0.000155015
11825.6	0.000147082
11873.2	0.00015114
11920.9	0.000155908
11968.6	0.00015491
12016.3	0.000151624
12064	0.00015454
12111.7	0.00015318
12159.3	0.000156727
12207	0.000151807
12254.7	0.000150764
12302.4	0.000149129
12350.1	0.000152832
12397.8	0.000151862
12445.5	0.000153238
12493.1	0.000147019
12540.8	0.000148231
12588.5	0.000142808
12636.2	0.000150255
12683.9	0.000153007
12731.6	0.000150581
12779.2	0.000150351
12826.9	0.000146918
12874.6	0.000145232
12922.3	0.00015262
12970	0.00015324
13017.7	0.000153466
13065.3	0.000152707
13113	0.000152469
13160.7	0.000162427
13208.4	0.000153254
13256.1	0.000144527
13303.8	0.000151002
13351.4	0.000145348
13399.1	0.000149355
13446.8	0.000147845
13494.5	0.000148677
13542.2	0.00015277
13589.9	0.000152284
13637.5	0.000144448
13685.2	0.000147197
13732.9	0.000153186
13780.6	0.000148927
13828.3	0.000152226
13876	0.000154978
13923.6	0.000151603
13971.3	0.000146141
14019	0.000149487
14066.7	0.000152786
14114.4	0.000151497
14162.1	0.000153094
14209.7	0.000150045
14257.4	0.000147673
14305.1	0.000146567
14352.8	0.000150331
14400.5	0.000148894
14448.2	0.000155502
14495.8	0.00014709
14543.5	0.00014873
14591.2	0.000147111
14638.9	0.000151742
14686.6	0.000151425
14734.3	0.000146211
14782	0.000148192
14829.6	0.000148015
14877.3	0.000151001
14925	0.000144846
14972.7	0.000150181
15020.4	0.000143638
15068.1	0.000149666
15115.7	0.000152156
15163.4	0.000147158
15211.1	0.000150763
15258.8	0.000148258
15306.5	0.000155421
15354.2	0.000151222
15401.8	0.000158019
15449.5	0.000147788
15497.2	0.000144068
15544.9	0.000158915
15592.6	0.000143626
15640.3	0.00014489
15687.9	0.000146317
15735.6	0.000147575
15783.3	0.000157419
15831	0.000151347
15878.7	0.000147262
15926.4	0.000151225
15974	0.000147111
16021.7	0.000153464
16069.4	0.000145089
16117.1	0.000143695
16164.8	0.000144581
16212.5	0.000150767
16260.1	0.000141785
16307.8	0.000148551
16355.5	0.000146323
16403.2	0.000147656
16450.9	0.000148624
16498.6	0.000152559
16546.3	0.000147942
16593.9	0.000147798
16641.6	0.000145978
16689.3	0.000149592
16737	0.000150226
16784.7	0.000147715
16832.4	0.00015086
16880	0.000147559
16927.7	0.000144868
16975.4	0.000149884
17023.1	0.000150183
17070.8	0.000144098
17118.5	0.000150439
17166.1	0.000145071
17213.8	0.000145142
17261.5	0.0001434
17309.2	0.000148509
17356.9	0.0001495
17404.6	0.000145753
17452.2	0.000144829
17499.9	0.000147527
17547.6	0.000143515
17595.3	0.000146671
17643	0.000143988
17690.7	0.000149286
17738.3	0.000141591
17786	0.000145622
17833.7	0.000143561
17881.4	0.000150613
17929.1	0.000140621
17976.8	0.000142209
18024.4	0.000155359
18072.1	0.000144524
18119.8	0.00014195
18167.5	0.000142406
18215.2	0.000148764
18262.9	0.000144864
