/* Noise measurement performed with PAQS - v2.8.4
/* Acquired at 14:49:5 on 17.2.2023
/* Frequency [Hz]	 Spectral power density [V/sqrt(Hz)]
1907.35	0.000158525
3814.7	0.000156886
5722.05	0.000153781
7629.39	0.00015531
9536.74	0.000148792
11444.1	0.000148518
13351.4	0.000157528
15258.8	0.000151124
17166.1	0.000141159
19073.5	0.000140653
20980.8	0.000142754
22888.2	0.000138477
24795.5	0.000135697
26702.9	0.000141587
28610.2	0.000132607
30517.6	0.000131042
32424.9	0.00012992
34332.3	0.000125084
36239.6	0.000126139
38147	0.000120737
40054.3	0.000124774
41961.7	0.000120623
43869	0.000110389
45776.4	0.000117364
47683.7	0.00011415
49591.1	0.000108541
51498.4	0.000112836
53405.8	0.000102876
55313.1	0.000101074
57220.5	9.90627e-005
59127.8	9.6073e-005
61035.2	9.62828e-005
62942.5	9.61743e-005
64849.9	9.15524e-005
66757.2	9.29976e-005
68664.6	9.03273e-005
70571.9	8.70551e-005
72479.3	8.27686e-005
74386.6	8.72799e-005
76293.9	7.98177e-005
78201.3	7.89586e-005
80108.6	7.97411e-005
82016	7.57401e-005
83923.3	8.01462e-005
85830.7	7.63435e-005
87738	7.56986e-005
89645.4	7.40539e-005
91552.7	7.22362e-005
93460.1	7.07198e-005
95367.4	7.18496e-005
97274.8	7.18511e-005
99182.1	7.13705e-005
101089	6.72012e-005
102997	6.65961e-005
104904	6.46749e-005
106812	6.52126e-005
108719	6.36611e-005
110626	6.15177e-005
112534	6.02146e-005
114441	6.21755e-005
116348	6.04456e-005
118256	5.76816e-005
120163	6.02906e-005
122070	5.90059e-005
123978	5.56664e-005
125885	5.34921e-005
127792	5.66381e-005
129700	5.77692e-005
131607	5.25342e-005
133514	5.49104e-005
135422	5.22771e-005
137329	5.1289e-005
139236	4.90176e-005
141144	4.97723e-005
143051	5.01058e-005
144959	4.89585e-005
146866	4.82401e-005
148773	4.93266e-005
150681	4.9461e-005
152588	4.70065e-005
154495	5.15988e-005
156403	4.7015e-005
158310	4.75714e-005
160217	4.49097e-005
162125	4.60549e-005
164032	4.6118e-005
165939	4.27384e-005
167847	4.23095e-005
169754	4.23997e-005
171661	4.34134e-005
173569	4.05633e-005
175476	4.21633e-005
177383	4.3831e-005
179291	4.15967e-005
181198	4.12416e-005
183105	3.97959e-005
185013	3.90364e-005
186920	3.96293e-005
188828	3.75547e-005
190735	3.85852e-005
192642	3.78002e-005
194550	3.81807e-005
196457	3.8174e-005
198364	3.73788e-005
200272	3.65268e-005
202179	3.62274e-005
204086	3.72487e-005
205994	3.68642e-005
207901	3.64218e-005
209808	3.60261e-005
211716	3.57664e-005
213623	3.66277e-005
215530	3.62551e-005
217438	3.33497e-005
219345	3.46076e-005
221252	3.45488e-005
223160	3.30068e-005
225067	3.3044e-005
226975	3.32466e-005
228882	3.18673e-005
230789	3.23034e-005
232697	3.21825e-005
234604	3.16427e-005
236511	3.2235e-005
238419	3.05837e-005
240326	2.99696e-005
242233	3.16062e-005
244141	2.98127e-005
246048	3.00503e-005
247955	3.16875e-005
249863	2.94014e-005
251770	3.05449e-005
253677	2.97215e-005
255585	2.97939e-005
257492	3.01611e-005
259399	2.8642e-005
261307	2.8768e-005
263214	2.90358e-005
265121	2.87414e-005
267029	2.82407e-005
268936	2.76596e-005
270844	2.76331e-005
272751	2.78875e-005
274658	2.76228e-005
276566	2.77448e-005
278473	2.72926e-005
280380	2.75736e-005
282288	2.74833e-005
284195	2.65232e-005
286102	2.652e-005
288010	2.61519e-005
289917	2.70335e-005
291824	2.65908e-005
293732	2.58063e-005
295639	2.51451e-005
297546	2.66444e-005
299454	2.62202e-005
301361	2.5025e-005
303268	2.5647e-005
305176	2.43469e-005
307083	2.44421e-005
308991	2.42939e-005
310898	2.44769e-005
312805	2.48209e-005
314713	2.35375e-005
316620	2.42075e-005
318527	2.37999e-005
320435	2.42467e-005
322342	2.50485e-005
324249	2.32046e-005
326157	2.38092e-005
328064	2.34234e-005
329971	2.25699e-005
331879	2.28061e-005
333786	2.24407e-005
335693	2.30777e-005
337601	2.27479e-005
339508	2.2618e-005
341415	2.35398e-005
343323	2.25934e-005
345230	2.28762e-005
347137	2.27137e-005
349045	2.19054e-005
350952	2.11618e-005
352860	2.26399e-005
354767	2.13797e-005
356674	2.21296e-005
358582	2.09627e-005
360489	2.08566e-005
362396	2.17094e-005
364304	2.12099e-005
366211	2.09637e-005
368118	2.07253e-005
370026	2.08369e-005
371933	2.07e-005
373840	2.02536e-005
375748	2.07273e-005
377655	2.08317e-005
379562	2.00118e-005
381470	2.00782e-005
383377	2.03756e-005
385284	2.00799e-005
387192	1.99388e-005
389099	1.94383e-005
391006	2.0403e-005
392914	1.9043e-005
394821	2.02177e-005
396729	1.97997e-005
398636	1.96739e-005
400543	1.94389e-005
402451	1.95863e-005
404358	1.94236e-005
406265	1.84936e-005
408173	1.87083e-005
410080	1.89519e-005
411987	1.88219e-005
413895	1.81919e-005
415802	1.88189e-005
417709	1.87435e-005
419617	1.93062e-005
421524	1.75442e-005
423431	1.75319e-005
425339	1.84045e-005
427246	1.77519e-005
429153	1.84826e-005
431061	1.7291e-005
432968	1.80652e-005
434876	1.81277e-005
436783	1.76244e-005
438690	1.71899e-005
440598	1.78369e-005
442505	1.72948e-005
444412	1.72923e-005
446320	1.71002e-005
448227	1.74446e-005
450134	1.81313e-005
452042	1.75386e-005
453949	1.63565e-005
455856	1.7548e-005
457764	1.77691e-005
459671	1.65427e-005
461578	1.63065e-005
463486	1.65726e-005
465393	1.64435e-005
467300	1.62459e-005
469208	1.6738e-005
471115	1.71446e-005
473022	1.66428e-005
474930	1.62658e-005
476837	1.64797e-005
478745	1.62691e-005
480652	1.62768e-005
482559	1.61333e-005
484467	1.53866e-005
486374	1.61342e-005
488281	1.58753e-005
490189	1.53774e-005
492096	1.59342e-005
494003	1.5583e-005
495911	1.50402e-005
497818	1.62609e-005
499725	1.54499e-005
501633	1.60346e-005
503540	1.54344e-005
505447	1.57986e-005
507355	1.50409e-005
509262	1.57868e-005
511169	1.53727e-005
513077	1.53302e-005
514984	1.48363e-005
516892	1.57998e-005
518799	1.5119e-005
520706	1.48122e-005
522614	1.51005e-005
524521	1.58311e-005
526428	1.55069e-005
528336	1.53523e-005
530243	1.41916e-005
532150	1.52496e-005
534058	1.47669e-005
535965	1.51814e-005
537872	1.45332e-005
539780	1.43469e-005
541687	1.44819e-005
543594	1.39054e-005
545502	1.44573e-005
547409	1.44262e-005
549316	1.47422e-005
551224	1.45637e-005
553131	1.4585e-005
555038	1.44844e-005
556946	1.40739e-005
558853	1.41572e-005
560761	1.39763e-005
562668	1.41395e-005
564575	1.44841e-005
566483	1.45846e-005
568390	1.37004e-005
570297	1.41416e-005
572205	1.39527e-005
574112	1.4295e-005
576019	1.45358e-005
577927	1.35847e-005
579834	1.34614e-005
581741	1.39998e-005
583649	1.30003e-005
585556	1.34001e-005
587463	1.3687e-005
589371	1.3162e-005
591278	1.36508e-005
593185	1.34303e-005
595093	1.37105e-005
597000	1.31681e-005
598908	1.29429e-005
600815	1.30565e-005
602722	1.30612e-005
604630	1.25009e-005
606537	1.30445e-005
608444	1.28663e-005
610352	1.29986e-005
612259	1.31563e-005
614166	1.23864e-005
616074	1.29772e-005
617981	1.3129e-005
619888	1.31149e-005
621796	1.2415e-005
623703	1.23589e-005
625610	1.26548e-005
627518	1.25179e-005
629425	1.28574e-005
631332	1.27959e-005
633240	1.28021e-005
635147	1.26306e-005
637054	1.26611e-005
638962	1.27543e-005
640869	1.27016e-005
642777	1.24804e-005
644684	1.28272e-005
646591	1.23348e-005
648499	1.23355e-005
650406	1.21757e-005
652313	1.17786e-005
654221	1.1858e-005
656128	1.22803e-005
658035	1.20017e-005
659943	1.21777e-005
661850	1.23954e-005
663757	1.19581e-005
665665	1.18979e-005
667572	1.17494e-005
669479	1.18806e-005
671387	1.22939e-005
673294	1.13647e-005
675201	1.17753e-005
677109	1.19222e-005
679016	1.15417e-005
680924	1.19646e-005
682831	1.17001e-005
684738	1.15731e-005
686646	1.16542e-005
688553	1.21799e-005
690460	1.20928e-005
692368	1.16491e-005
694275	1.15232e-005
696182	1.16649e-005
698090	1.15219e-005
699997	1.14476e-005
701904	1.13965e-005
703812	1.13826e-005
705719	1.18346e-005
707626	1.10829e-005
709534	1.14609e-005
711441	1.15132e-005
713348	1.19897e-005
715256	1.12817e-005
717163	1.12187e-005
719070	1.15963e-005
720978	1.1092e-005
722885	1.15089e-005
724793	1.10921e-005
726700	1.15078e-005
728607	1.13562e-005
730515	1.14821e-005
732422	1.10364e-005
734329	1.10212e-005
736237	1.07941e-005
738144	1.09286e-005
740051	1.10645e-005
741959	1.06851e-005
743866	1.05039e-005
745773	1.08843e-005
747681	1.08542e-005
749588	1.10432e-005
751495	1.07121e-005
753403	1.09969e-005
755310	1.07888e-005
757217	1.12519e-005
759125	1.00972e-005
761032	1.06091e-005
762940	1.04725e-005
764847	1.06742e-005
766754	1.04493e-005
768662	1.02433e-005
770569	1.09229e-005
772476	1.04941e-005
774384	1.09171e-005
776291	1.0634e-005
778198	1.04498e-005
780106	1.03384e-005
782013	1.03082e-005
783920	1.05361e-005
785828	1.01682e-005
787735	1.0652e-005
789642	1.0574e-005
791550	1.02631e-005
793457	1.05971e-005
795364	1.06672e-005
797272	1.01003e-005
799179	1.0558e-005
801086	9.95096e-006
802994	9.77934e-006
804901	9.84426e-006
806809	9.83324e-006
808716	1.02342e-005
810623	1.01519e-005
812531	1.01147e-005
814438	9.99846e-006
816345	9.82527e-006
818253	9.77333e-006
820160	9.88391e-006
822067	1.03064e-005
823975	9.7746e-006
825882	9.97698e-006
827789	1.02801e-005
829697	9.99463e-006
831604	1.0018e-005
833511	9.9136e-006
835419	9.8205e-006
837326	9.84232e-006
839233	1.02821e-005
841141	9.54923e-006
843048	1.00295e-005
844955	9.76096e-006
846863	9.88699e-006
848770	9.87457e-006
850678	9.75073e-006
852585	9.85819e-006
854492	9.58374e-006
856400	9.76836e-006
858307	9.4857e-006
860214	9.50311e-006
862122	9.59048e-006
864029	9.6622e-006
865936	9.82491e-006
867844	9.73986e-006
869751	8.91893e-006
871658	9.18787e-006
873566	9.4805e-006
875473	9.58894e-006
877380	9.33724e-006
879288	9.48345e-006
881195	9.58794e-006
883102	9.38159e-006
885010	9.55944e-006
886917	9.02905e-006
888825	9.39509e-006
890732	9.33561e-006
