/* Noise measurement performed with PAQS - v2.9.2
/* ADC channel 3
/* Calculated as sqrt(averaged PSD) over 500 averaged noise traces
/* Acquired at 14:12:56 on 20.2.2023
/* Frequency [Hz]	 Power spectral density [Vrms/sqrt(Hz)]
47.6837	0.000143106
95.3674	0.000135347
143.051	0.000140638
190.735	0.000139184
238.419	0.000141816
286.102	0.000130335
333.786	0.000139925
381.47	0.000130307
429.153	0.00014104
476.837	0.000140637
524.521	0.00013342
572.205	0.000140857
619.888	0.000134907
667.572	0.000140257
715.256	0.000138211
762.939	0.000133994
810.623	0.000134581
858.307	0.000136545
905.991	0.000138564
953.674	0.000129885
1001.36	0.000136656
1049.04	0.000139217
1096.73	0.000138188
1144.41	0.000140246
1192.09	0.000139
1239.78	0.000138241
1287.46	0.000142698
1335.14	0.000134334
1382.83	0.000138851
1430.51	0.000131118
1478.2	0.000133153
1525.88	0.000139751
1573.56	0.000138737
1621.25	0.000135503
1668.93	0.00013433
1716.61	0.000134746
1764.3	0.0001386
1811.98	0.000140319
1859.66	0.000136269
1907.35	0.000136963
1955.03	0.000138669
2002.72	0.000137436
2050.4	0.000141123
2098.08	0.000134871
2145.77	0.000135306
2193.45	0.000134278
2241.13	0.000142588
2288.82	0.000138089
2336.5	0.000138073
2384.19	0.0001416
2431.87	0.000138297
2479.55	0.000134839
2527.24	0.000142543
2574.92	0.000137473
2622.6	0.000134853
2670.29	0.000135253
2717.97	0.000138729
2765.66	0.000134376
2813.34	0.000132794
2861.02	0.000139406
2908.71	0.000133809
2956.39	0.000135198
3004.07	0.000135438
3051.76	0.000137425
3099.44	0.000137949
3147.13	0.00013109
3194.81	0.000137282
3242.49	0.00013667
3290.18	0.000142099
3337.86	0.000134126
3385.54	0.000142693
3433.23	0.000135686
3480.91	0.000134164
3528.59	0.000136866
3576.28	0.000137039
3623.96	0.000137157
3671.65	0.00013515
3719.33	0.000131845
3767.01	0.000137468
3814.7	0.000133904
3862.38	0.000136089
3910.06	0.000130815
3957.75	0.00014155
4005.43	0.000135986
4053.12	0.000131785
4100.8	0.000134781
4148.48	0.00013967
4196.17	0.000140191
4243.85	0.000140555
4291.53	0.000138415
4339.22	0.000135545
4386.9	0.000137963
4434.59	0.000136034
4482.27	0.000136904
4529.95	0.000135541
4577.64	0.000139063
4625.32	0.000135905
4673	0.000137152
4720.69	0.000137188
4768.37	0.00013815
4816.06	0.000135751
4863.74	0.000138992
4911.42	0.000140409
4959.11	0.000127199
5006.79	0.000134622
5054.47	0.000136169
5102.16	0.000132165
5149.84	0.000138092
5197.52	0.000139997
5245.21	0.000134286
5292.89	0.000140952
5340.58	0.000134807
5388.26	0.00014009
5435.94	0.000136213
5483.63	0.000136972
5531.31	0.000135738
5578.99	0.000138799
5626.68	0.000135848
5674.36	0.000133887
5722.05	0.00013328
5769.73	0.000137829
5817.41	0.000141292
5865.1	0.000136045
5912.78	0.000131481
5960.46	0.00013784
6008.15	0.000134645
6055.83	0.000139566
6103.52	0.000131798
6151.2	0.000132509
6198.88	0.000133526
6246.57	0.000130088
6294.25	0.000134861
6341.93	0.000135983
6389.62	0.0001344
6437.3	0.000129859
6484.99	0.00013707
6532.67	0.000134192
6580.35	0.000132397
6628.04	0.000137249
6675.72	0.00013189
6723.4	0.000131942
6771.09	0.000137549
6818.77	0.000133085
6866.46	0.000133446
6914.14	0.000136506
6961.82	0.000131166
7009.51	0.000132821
7057.19	0.000134843
7104.87	0.000133286
7152.56	0.000136088
7200.24	0.000134295
7247.92	0.000140877
7295.61	0.000132644
7343.29	0.000135081
7390.98	0.000137713
7438.66	0.000130837
7486.34	0.000128326
7534.03	0.000133615
7581.71	0.000137572
7629.39	0.000131191
7677.08	0.000135164
7724.76	0.000135855
7772.45	0.000133218
7820.13	0.000132776
7867.81	0.000129983
7915.5	0.000134595
7963.18	0.00012915
8010.86	0.000136839
8058.55	0.000130465
8106.23	0.000140071
8153.92	0.00013322
8201.6	0.000133474
8249.28	0.000135969
8296.97	0.000136733
8344.65	0.000128712
8392.33	0.000134869
8440.02	0.000135912
8487.7	0.000131422
8535.38	0.000132099
8583.07	0.000129467
8630.75	0.000132497
8678.44	0.000132424
8726.12	0.000137552
8773.8	0.000131592
8821.49	0.000129903
8869.17	0.000135946
8916.85	0.000141875
8964.54	0.000132826
9012.22	0.000135185
9059.91	0.000132738
9107.59	0.000135694
9155.27	0.000140298
9202.96	0.000135643
9250.64	0.000134395
9298.32	0.000140719
9346.01	0.000134334
9393.69	0.000134638
9441.38	0.000139523
9489.06	0.000133633
9536.74	0.000132817
9584.43	0.000127799
9632.11	0.00013323
9679.79	0.000134821
9727.48	0.000133255
9775.16	0.000136342
9822.85	0.000133584
9870.53	0.000136403
9918.21	0.000133465
9965.9	0.000135337
10013.6	0.000133803
10061.3	0.000131324
10108.9	0.000135526
