/* x,Curve1
0.0126304,1.99992
0.0294088,1.99559
0.0461249,1.98705
0.0585377,1.9722
0.0750985,1.95311
0.0854684,1.9425
0.101967,1.91919
0.120508,1.89164
0.134902,1.86834
0.14719,1.84506
0.161553,1.81965
0.184025,1.7731
0.196344,1.75192
0.20659,1.73287
0.218816,1.70537
0.233054,1.67152
0.245342,1.64824
0.255464,1.62075
0.267752,1.59746
0.277873,1.56997
0.286045,1.55304
0.29824,1.52343
0.306443,1.50861
0.322724,1.47053
0.336993,1.4388
0.351231,1.40495
0.361352,1.37746
0.377695,1.3436
0.387847,1.31822
0.395926,1.29496
0.408183,1.26957
0.420378,1.23996
0.430531,1.21457
0.444862,1.18706
0.457057,1.15744
0.471326,1.12571
0.48151,1.10244
0.49581,1.07281
0.499865,1.06224
0.504137,1.06643
0.517109,1.08955
0.52807,1.11902
0.541135,1.14847
0.552127,1.18005
0.567298,1.20949
0.580394,1.24105
0.589188,1.26631
0.604421,1.29997
0.617517,1.33153
0.632781,1.3673
0.647983,1.39885
0.661142,1.43463
0.676344,1.46618
0.689409,1.49564
0.704611,1.52719
0.717677,1.55664
0.730742,1.58609
0.741672,1.61345
0.756874,1.645
0.774243,1.68075
0.787277,1.7081
0.802479,1.73965
0.819786,1.77118
0.837124,1.80483
0.8544,1.83425
0.867372,1.85738
0.884585,1.88259
0.897558,1.90571
0.91474,1.92881
0.927619,1.94561
0.946814,1.96236
0.961767,1.97704
0.978763,1.98748
0.995759,1.99792
1.00211,1.99999
