/* x,Curve1 alpha = 0,Curve2 alpha = 0.4
0.998281,1.99874,1.74052
0.994289,1.99701,1.75531
0.981938,1.98943,1.77438
0.971755,1.98317,1.79765
0.961509,1.97678,1.8167
0.951295,1.96676,1.83786
0.94108,1.95736,1.85902
0.926656,1.94435,1.88021
0.91641,1.93099,1.89926
0.90406,1.91445,1.91833
0.893721,1.89887,1.93105
0.879234,1.87475,1.94802
0.864747,1.8527,1.96499
0.85026,1.8272,1.98196
0.83568,1.80203,1.9926
0.821038,1.77361,1.99902
0.795746,1.72567,1.99707
0.776707,1.68592,1.99086
0.757606,1.64651,1.98044
0.732097,1.58948,1.96372
0.70863,1.53625,1.94277
0.691479,1.49993,1.92178
0.670055,1.45313,1.8966
0.650737,1.40634,1.87141
0.631418,1.36411,1.84621
0.616309,1.32862,1.82099
0.601139,1.29272,1.79155
0.586061,1.25733,1.76844
0.573027,1.2233,1.7411
0.553677,1.18306,1.7138
0.54281,1.15328,1.69066
0.52767,1.11795,1.66333
0.516803,1.08901,1.64019
0.501601,1.06394,1.60864
0.484325,1.0966,1.57921
0.467049,1.13522,1.54979
0.449712,1.17528,1.51614
0.438875,1.19855,1.49511
0.425903,1.22614,1.47199
0.415036,1.25293,1.44885
0.406336,1.2734,1.42992
0.393425,1.30216,1.41101
0.380422,1.33678,1.38578
0.360948,1.37856,1.35004
0.347976,1.41269,1.32691
0.332805,1.44811,1.29747
0.319801,1.47737,1.27224
0.306798,1.50778,1.247
0.293794,1.53422,1.22177
0.280822,1.56386,1.19864
0.267881,1.59711,1.17763
0.257045,1.61775,1.1566
0.244072,1.65064,1.13348
0.229741,1.6794,1.16099
0.219682,1.70331,1.1927
0.209592,1.72612,1.2223
0.197334,1.75008,1.2477
0.187182,1.76767,1.27308
0.179104,1.78329,1.29633
0.168889,1.80445,1.3175
0.156663,1.8283,1.345
0.148585,1.84259,1.36826
0.138464,1.8616,1.39575
0.128249,1.87911,1.41691
0.120171,1.89214,1.44017
0.11005,1.90718,1.46766
0.0998663,1.92215,1.49093
0.089714,1.9365,1.51631
0.0774878,1.95067,1.54381
0.0652304,1.96449,1.56921
0.0551403,1.97627,1.59881
0.0409022,1.98972,1.63265
0.0287071,1.99578,1.66227
0.0165119,1.99892,1.69188
0.0063907,2.00153,1.71937
0.0126304,1.99992,1.70242
0.0294088,1.99559,1.66056
0.0461249,1.98705,1.62024
0.0585377,1.9722,1.58884
0.0750985,1.95311,1.54876
0.0854684,1.9425,1.52586
0.101967,1.91919,1.48613
0.120508,1.89164,1.4392
0.134902,1.86834,1.40313
0.14719,1.84506,1.37205
0.161553,1.81965,1.334
0.184025,1.7731,1.28217
0.196344,1.75192,1.25017
0.20659,1.73287,1.22852
0.218816,1.70537,1.19524
0.233054,1.67152,1.15463
0.245342,1.64824,1.13574
0.255464,1.62075,1.15378
0.267752,1.59746,1.17738
0.277873,1.56997,1.19386
0.286045,1.55304,1.20795
0.29824,1.52343,1.2304
0.306443,1.50861,1.24631
0.322724,1.47053,1.27791
0.336993,1.4388,1.3056
0.351231,1.40495,1.33271
0.361352,1.37746,1.35078
0.377695,1.3436,1.38077
0.387847,1.31822,1.40019
0.395926,1.29496,1.41467
0.408183,1.26957,1.43394
0.420378,1.23996,1.46023
0.430531,1.21457,1.48024
0.444862,1.18706,1.50673
0.457057,1.15744,1.5304
0.471326,1.12571,1.55707
0.48151,1.10244,1.57442
0.49581,1.07281,1.59878
0.499865,1.06224,1.60568
0.504137,1.06643,1.6139
0.517109,1.08955,1.64084
0.52807,1.11902,1.66405
0.541135,1.14847,1.68763
0.552127,1.18005,1.7105
0.567298,1.20949,1.73302
0.580394,1.24105,1.75655
0.589188,1.26631,1.77324
0.604421,1.29997,1.79792
0.617517,1.33153,1.82301
0.632781,1.3673,1.84799
0.647983,1.39885,1.86782
0.661142,1.43463,1.88498
0.676344,1.46618,1.90399
0.689409,1.49564,1.91935
0.704611,1.52719,1.93785
0.717677,1.55664,1.95085
0.730742,1.58609,1.96251
0.741672,1.61345,1.97
0.756874,1.645,1.97996
0.774243,1.68075,1.98952
0.787277,1.7081,1.99431
0.802479,1.73965,1.99759
0.819786,1.77118,1.99893
0.837124,1.80483,1.99155
0.8544,1.83425,1.97711
0.867372,1.85738,1.96192
0.884585,1.88259,1.94175
0.897558,1.90571,1.92633
0.91474,1.92881,1.90184
0.927619,1.94561,1.8788
0.946814,1.96236,1.84714
0.961767,1.97704,1.81622
0.978763,1.98748,1.78163
0.995759,1.99792,1.74986
1.00211,1.99999,1.72635
