/* x,Curve3
0.00108362,1.5021
0.00928628,1.48728
0.0195318,1.46823
0.0296841,1.44285
0.0419104,1.41535
0.0500198,1.3942
0.0644133,1.3709
0.0745345,1.34341
0.0826439,1.32226
0.0927651,1.29477
0.100937,1.27784
0.107065,1.26515
0.122112,1.28615
0.139294,1.30924
0.156446,1.33023
0.173628,1.35333
0.192947,1.37853
0.210129,1.40162
0.227374,1.42894
0.250996,1.46044
0.272544,1.49406
0.289758,1.51926
0.304835,1.54237
0.317776,1.56339
0.332823,1.58439
0.345764,1.60541
0.365083,1.6306
0.382358,1.66003
0.397436,1.68314
0.412544,1.70836
0.429727,1.73146
0.446909,1.75456
0.462018,1.77978
0.477033,1.79867
0.500686,1.83227
0.520036,1.85958
0.539355,1.88477
0.556506,1.90576
0.582171,1.93302
0.603501,1.95188
0.626906,1.96861
0.648143,1.98113
0.66938,1.99365
0.692629,1.99984
0.711575,1.99972
0.72631,1.99962
0.740952,1.9932
0.749248,1.98471
0.761754,1.97619
0.776303,1.96344
0.786673,1.95283
0.797012,1.9401
0.813542,1.9189
0.830071,1.8977
0.840317,1.87865
0.852668,1.85958
0.86703,1.83417
0.877213,1.8109
0.891514,1.78128
0.90374,1.75377
0.918071,1.72626
0.928192,1.69877
0.938345,1.67339
0.948528,1.65011
0.9567,1.63319
0.966821,1.6057
0.972856,1.58667
0.978923,1.56975
0.989075,1.54437
1.00136,1.52109
