/* x,Curve8
-0.00108124,1.4979
0.0154432,1.47871
0.0319056,1.45529
0.0503443,1.42341
0.0688451,1.39575
0.0893843,1.36385
0.105816,1.33832
0.124285,1.30855
0.144825,1.27665
0.161256,1.25112
0.177656,1.22349
0.194119,1.20007
0.21262,1.17241
0.229082,1.149
0.247552,1.11923
0.264014,1.09581
0.278376,1.07243
0.288661,1.05753
0.297342,1.0764
0.306302,1.11427
0.313069,1.14583
0.319836,1.17739
0.326633,1.21106
0.335531,1.2447
0.344429,1.27834
0.348971,1.30149
0.355738,1.33305
0.364791,1.37724
0.373627,1.40666
0.382619,1.44663
0.393679,1.48447
0.400446,1.51603
0.407119,1.54126
0.413886,1.57282
0.41849,1.60019
0.429489,1.6338
0.438325,1.66323
0.447285,1.70109
0.456183,1.73473
0.465081,1.76837
0.478211,1.80407
0.489272,1.84191
0.500425,1.88607
0.513431,1.91333
0.5286,1.94479
0.549945,1.96772
0.571167,1.98222
0.590195,1.99042
0.60913,1.99229
0.621671,1.98791
0.640482,1.98134
0.66337,1.96629
0.682057,1.95128
0.698612,1.93419
0.715168,1.91711
0.7358,1.89153
0.760571,1.86168
0.779072,1.83402
0.797635,1.81058
0.814128,1.78927
0.834667,1.75737
0.855268,1.72968
0.8738,1.70413
0.890201,1.6765
0.904562,1.65311
0.920994,1.62758
0.933286,1.60633
0.94978,1.58502
0.964142,1.56164
0.978535,1.54036
0.988789,1.52335
0.997035,1.5127
