/* x,Curve6
0.00206943,1.99786
0.0125717,1.99773
0.0314447,1.99538
0.0501316,1.98038
0.0605408,1.97392
0.0749958,1.95686
0.0894818,1.94191
0.103844,1.91852
0.116198,1.90148
0.12846,1.87812
0.14276,1.85051
0.155021,1.82715
0.165213,1.80593
0.173336,1.78684
0.183528,1.76561
0.19372,1.74438
0.201874,1.7274
0.211973,1.69985
0.224203,1.67438
0.236402,1.6468
0.248664,1.62343
0.258732,1.59377
0.270931,1.56619
0.283162,1.54072
0.29533,1.51103
0.307654,1.49189
0.321892,1.46006
0.334122,1.43459
0.344252,1.40914
0.358459,1.37521
0.370689,1.34974
0.382889,1.32216
0.399227,1.29031
0.407319,1.26911
0.421588,1.23939
0.433756,1.2097
0.443979,1.19058
0.45414,1.16725
0.46634,1.13967
0.478508,1.10998
0.490739,1.08451
0.505069,1.05901
0.518044,1.08416
0.526818,1.10937
0.539855,1.13874
0.55073,1.16391
0.559535,1.19123
0.574734,1.22479
0.589934,1.25836
0.600932,1.29197
0.616163,1.32764
0.631362,1.36121
0.648724,1.39896
0.663955,1.43463
0.679278,1.47663
0.694478,1.5102
0.707546,1.54168
0.724877,1.57732
0.740107,1.61299
0.755338,1.64867
0.7748,1.68639
0.796363,1.7241
0.807299,1.75349
0.822437,1.78284
0.841806,1.81424
0.859075,1.84567
0.880545,1.87704
0.899914,1.90844
0.919252,1.93773
0.938529,1.9628
0.964013,1.98147
0.978871,1.99183
0.993575,1.99164
0.997806,1.9937
