/* x,Curve7
-0.00115658,1.7785
0.011198,1.76146
0.0254979,1.73385
0.0377283,1.70838
0.0520592,1.68289
0.0643207,1.65952
0.0786516,1.63403
0.0990978,1.59579
0.113429,1.57029
0.129829,1.54266
0.140083,1.52565
0.152314,1.50018
0.166613,1.47257
0.185052,1.4407
0.199383,1.4152
0.215815,1.38967
0.228014,1.36209
0.242345,1.33659
0.256676,1.3111
0.271007,1.2856
0.283237,1.26013
0.299638,1.23249
0.313999,1.20911
0.326199,1.18152
0.338491,1.16027
0.352822,1.13477
0.367153,1.10928
0.379415,1.08591
0.389638,1.0668
0.397853,1.05404
0.408821,1.08554
0.419758,1.11494
0.428563,1.14225
0.437399,1.17168
0.443979,1.19058
0.44849,1.21162
0.457295,1.23894
0.468232,1.26833
0.479199,1.29984
0.488004,1.32716
0.499034,1.36288
0.512102,1.39436
0.520969,1.42589
0.529867,1.45954
0.54516,1.49943
0.556158,1.53304
0.567219,1.57088
0.582449,1.60655
0.593634,1.65282
0.606764,1.68852
0.619925,1.72633
0.635155,1.762
0.646092,1.7914
0.661198,1.81863
0.674266,1.85011
0.689342,1.87524
0.704448,1.90248
0.71943,1.92127
0.736575,1.94426
0.755759,1.96301
0.772841,1.98178
0.79607,1.98992
0.810835,1.99396
0.827608,1.99163
0.840087,1.98304
0.856735,1.97228
0.873353,1.95941
0.892009,1.9423
0.906464,1.92523
0.918787,1.90609
0.931142,1.88906
0.943434,1.8678
0.957858,1.84863
0.970182,1.82949
0.980405,1.81037
0.990721,1.79759
0.998905,1.78271
